PIO_CAPTURING...
PIO_CAPTURE_DONE count=32768 sample_hz=33250000.0
BEGIN_PIO_CAPTURE
sample_hz=33250000.0
idx,delta_ns,p6,fd7,fd6,fd5,fd4,fd3,fd2,fd1,fd0,reb,p16,p17,p18,p19,rst-,p21,p22
80,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
81,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
82,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
83,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
84,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
85,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
86,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
87,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
88,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
89,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
90,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
91,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
92,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
93,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
94,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
95,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
96,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
97,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
98,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
99,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
100,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
101,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
102,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
103,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
104,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
105,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
106,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
107,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
108,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
109,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
110,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
111,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
112,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
113,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
114,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
115,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
116,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
117,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
118,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
119,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
120,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
121,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
122,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
123,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
124,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
125,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
126,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
127,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
128,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
129,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
130,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
131,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
132,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
133,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
134,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
135,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
136,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
137,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
138,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
139,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
140,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
141,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
142,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
143,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
144,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
145,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
146,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
147,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
148,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
149,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
150,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
151,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
152,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
153,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
154,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
155,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
156,30,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
